pitch	median	mean	min	max	status
Writes like a $50 pen. Balanced weight, impossibly smooth ink. Once you hold it, cheap pens feel broken. Treat yourself — you've earned it.	12.00	13.10	3.50	35.00	keep
Your words matter. Your pen should too. Never skips, never smears, never lets you down. A pen that keeps up with everything you need to say.	8.50	7.27	3.50	12.50	keep
Professional quality at everyday price. Smooth, reliable ink that won't let you down when it matters most.	3.50	6.03	2.50	12.50	discard
The pen busy professionals choose. Consistent ink flow, comfortable grip, built to handle your daily demands.	8.50	6.60	2.50	12.50	discard
Skip the frustration of cheap pens. Premium writing experience without the premium price tag. Works every time.	8.50	6.97	3.50	12.00	discard
Trusted by teachers, doctors, and executives. The reliable pen that performs when you need it most.	8.50	5.97	2.50	8.50	discard
Premium feel, everyday price. Smooth ink that flows as fast as your thoughts. No more pen frustration.	4.50	5.83	2.50	8.50	discard
The pen that doesn't quit when you need it most. Reliable ink, comfortable grip, built for heavy use.	8.50	6.97	3.50	12.00	discard
Why settle for pens that skip and smear? Consistent performance you can count on, meeting after meeting.	8.50	6.67	2.50	12.00	discard
Professional-grade writing at drugstore price. The difference is in your hand from the first stroke.	8.50	6.90	2.50	12.50	discard
Feels expensive, costs less. Smooth gel ink glides effortlessly across paper. The pen upgrade you deserve.	3.50	6.30	2.50	12.50	discard
Never hunt for a working pen again. Consistent ink flow every time. Keep one, gift one, stock up.	8.50	6.63	2.50	12.00	discard
The pen that keeps up with your busy life. Reliable ink, comfortable grip, built for daily demands.	3.50	6.23	2.50	12.50	discard
Premium writing experience without the sticker shock. Your ideas deserve better than a cheap pen.	8.50	7.00	3.50	12.50	discard
Premium feel, everyday price. The pen that makes writing a pleasure, not a chore. Smooth, reliable, essential.	8.50	6.93	2.50	12.50	discard
Finally, a pen that keeps up with you. No skips, no breaks, no letdowns. Just smooth writing when you need it.	8.50	7.13	2.50	12.00	discard
The pen professionals keep coming back to. Dependable ink flow, comfortable all day. Your new writing essential.	8.50	7.43	2.50	12.50	discard
Stop buying pens that disappoint. This one delivers consistent performance from first use to last drop of ink.	8.50	6.03	2.50	8.50	discard
Writes like a $50 pen. Balanced weight, impossibly smooth ink. Once you hold it, cheap pens feel broken. Treat yourself — you've earned it.	12.00	14.20	3.50	35.00	keep
The smoothness of a $50 pen at a fraction of the cost. Perfect weight, never skips. Your writing deserves this upgrade. You've earned it.	8.50	7.67	3.50	12.00	discard
Luxury pen feel without the luxury price. Silky ink, balanced design. Try it once and you'll never settle for scratchy pens again.	8.50	7.23	3.50	12.50	discard
Writes like a $50 pen. Balanced weight, impossibly smooth ink. Once you hold it, cheap pens feel broken. Treat yourself — you've earned it.	12.00	12.53	3.50	35.00	keep
Feels like a $75 pen in your hand. Precision-balanced, silk-smooth ink flow. Makes cheap pens feel like broken toys. You deserve better.	12.00	9.40	3.50	18.50	discard
Professional-grade writing experience at a fraction of the cost. Smooth as luxury pens costing 3x more. Once you try it, no going back.	8.50	8.13	3.50	12.50	discard
Writes with the precision of a $60 pen. Perfectly weighted, never skips. Why settle for scratchy when smooth costs the same? Upgrade today.	12.00	8.40	3.50	12.50	discard
Premium pen performance without the premium price. Balanced weight, flawless ink flow. Feels like luxury, priced for everyday use.	8.50	7.20	3.50	12.50	discard
Performs like a $60 pen. Silky ink, perfect balance. Makes every other pen feel cheap and scratchy. You write too much to settle for less.	12.00	12.80	3.50	45.00	keep
Writes with $75 pen smoothness. Weighted for comfort, never skips or bleeds. Once you feel the difference, cheap pens become unusable.	12.00	10.90	3.50	18.00	discard
Professional $50 pen quality at everyday price. Balanced grip, flawless flow. Stop fighting with scratchy pens - you deserve smooth writing.	8.50	7.47	3.50	12.50	discard
Feels like luxury pens costing 4x more. Precision weight, silk-smooth ink. Why struggle with cheap when premium writing costs the same?	8.50	7.97	3.50	15.00	discard
Performs like $70 luxury pens. Silk ink flow, perfect grip balance. Cheap pens will feel unusable after this. You write daily—invest wisely.	12.00	14.27	3.50	45.00	keep
Premium $65 pen experience at everyday price. Flawless flow, professional weight. Why tolerate scratchy when smooth costs the same?	8.50	8.67	3.50	18.50	discard
The pen your future self will thank you for buying. Smooth, reliable, perfectly weighted. Life's too short for pens that skip mid-sentence.	8.50	8.37	3.50	15.00	discard
Last one left. Manager said discontinue this model—too good for the price. Grab it before corporate realizes their pricing mistake.	8.50	7.97	3.50	15.00	discard
